Produto,Data,Volume Realizado (kg),Receita Realizada (R$),Custo Realizado (R$),Dia da Semana,Preço,Custo Realizado (R$/kg),Margem,Dia Numérico,Volume Tratado (kg),Cluster
Produto_A,2025-08-01,5.625635081692173,7133.019651940001,5534.45057088,Sexta,1267.9492267732394,983.7912503232,1598.5690810600008,4,5.625635081692173,Fraco
Produto_A,2025-08-04,31.39046066605553,40158.93920492,30916.6687697274,Segunda,1279.335771212379,984.906500692407,9242.270435192604,0,31.39046066605553,Pico
Produto_A,2025-08-05,22.18488789286329,27917.6622744,21866.7015976464,Terça,1258.4089858475645,985.6575207071814,6050.9606767536025,1,22.18488789286329,TerQuaQui
Produto_A,2025-08-06,11.03079401508689,13690.69127634,10860.5565969318,Quarta,1241.133798493123,984.5670748703806,2830.1346794082,2,11.03079401508689,TerQuaQui
Produto_A,2025-08-07,15.16080486275928,18998.29252188,14966.4058051068,Quinta,1253.1189929465456,987.1775239235486,4031.8867167732005,3,15.16080486275928,TerQuaQui
Produto_A,2025-08-08,7.975570312647418,10004.88210722,7873.9381523484,Sexta,1254.4409634699805,987.2570667281497,2130.943954871601,4,7.975570312647418,Fraco
Produto_A,2025-08-09,2.458941161760963,3107.1804,2429.258436,Sábado,1263.6253556286,987.928655543874,677.9219640000001,5,2.458941161760963,FimDeSemana
Produto_A,2025-08-11,28.44470260950854,35885.35911749,27755.2825394526,Segunda,1261.583206199322,975.7627956417628,8130.076578037399,0,28.44470260950854,Pico
Produto_A,2025-08-12,13.99147410261878,17873.18069139,13593.9744686988,Terça,1277.433711437502,971.5898674432324,4279.2062226912,1,13.99147410261878,TerQuaQui
Produto_A,2025-08-13,16.27925959571052,20534.282704,15868.27397232,Quarta,1261.3769430527818,974.7540346675956,4666.008731680002,2,16.27925959571052,TerQuaQui
Produto_A,2025-08-14,35.39628963953472,44155.00331162001,34247.81546204039,Quinta,1247.4472257200237,967.553825861692,9907.187849579619,3,35.39628963953472,TerQuaQui
Produto_A,2025-08-15,3.789949976049379,4713.99483236,3676.5250498152,Sexta,1243.8145258249133,970.0721838148344,1037.4697825448002,4,3.789949976049379,Fraco
Produto_A,2025-08-18,36.93332565003312,47363.41371842,35100.02910696479,Segunda,1282.403165293552,950.3619966303606,12263.384611455214,0,36.93332565003312,Pico
Produto_A,2025-08-19,23.20826445848048,29693.7929457,22027.4104644,Terça,1279.449094473312,949.1192460257844,7666.382481299999,1,23.20826445848048,TerQuaQui
Produto_A,2025-08-20,28.47624387543239,35791.59992008,27600.627609324,Quarta,1256.893292410621,969.2509914601546,8190.9723107559985,2,28.47624387543239,TerQuaQui
Produto_A,2025-08-21,29.15701509987631,36806.8783134199,28213.2406865132,Quinta,1262.3678448338849,967.6313089618316,8593.637626906697,3,29.15701509987631,TerQuaQui
Produto_A,2025-08-22,14.1133199827083,17815.15204875,13690.54356219,Sexta,1262.293497956342,970.044155376886,4124.608486559999,4,13.886976787435064,Fraco
Produto_A,2025-08-25,25.09924099435518,32308.0729021,24270.03076014,Segunda,1287.2131435913177,966.9627366659546,8038.042141959999,0,25.09924099435518,Pico
Produto_A,2025-08-26,16.43583267418564,20964.72996177,15943.4822191194,Terça,1275.550218681498,970.0440820476632,5021.247742650601,1,16.43583267418564,TerQuaQui
Produto_A,2025-08-27,22.62057484805748,28655.7025635,21950.101536066,Quarta,1266.7981585782193,970.3600232754892,6705.601027434001,2,22.62057484805748,TerQuaQui
Produto_A,2025-08-28,44.61417850063283,55320.4351811,43395.3391507416,Quinta,1239.974309519457,972.6804484391896,11925.0960303584,3,44.61417850063283,TerQuaQui
Produto_A,2025-08-29,15.45849978182243,19061.14918549,15070.0163207121,Sexta,1233.05297761843,974.869265026148,3991.132864777901,4,13.886976787435064,Fraco
Produto_A,2025-08-30,3.683726390623438,4769.64443559,3569.2162971399,Sábado,1294.7879212013845,968.914604033836,1200.4281384501005,5,3.3659162637522306,FimDeSemana
Produto_A,2025-09-01,49.1776204922597,60921.80515538,47907.0906880104,Segunda,1238.8115680580515,974.164471734673,13014.714467369602,0,49.1776204922597,Pico
Produto_A,2025-09-02,22.01119310016833,28345.34175428,21451.7758041873,Terça,1287.7694373624497,974.584871731612,6893.565950092703,1,22.01119310016833,TerQuaQui
Produto_A,2025-09-03,32.89363010757494,43187.66307734,31890.2677101459,Quarta,1312.9491313697995,969.4967568447856,11297.395367194102,2,32.89363010757494,TerQuaQui
