Produto,Data,Volume Realizado (kg),Receita Realizada (R$),Custo Realizado (R$),Dia da Semana,Preço,Custo Realizado (R$/kg)
Produto_A,2025-08-01,5.625635081692173,7133.019651940001,5534.45057088,Sexta,1267.9492267732394,983.7912503232
Produto_A,2025-08-04,31.39046066605553,40158.93920492,30916.6687697274,Segunda,1279.335771212379,984.906500692407
Produto_A,2025-08-05,22.18488789286329,27917.6622744,21866.7015976464,Terça,1258.4089858475643,985.6575207071814
Produto_A,2025-08-06,11.03079401508689,13690.69127634,10860.5565969318,Quarta,1241.133798493123,984.5670748703806
Produto_A,2025-08-07,15.16080486275928,18998.29252188,14966.4058051068,Quinta,1253.1189929465456,987.1775239235486
Produto_A,2025-08-08,7.975570312647418,10004.88210722,7873.9381523484,Sexta,1254.4409634699805,987.2570667281495
Produto_A,2025-08-09,2.458941161760963,3107.1804,2429.258436,Sábado,1263.6253556286001,987.9286555438741
Produto_A,2025-08-11,28.44470260950854,35885.35911749,27755.2825394526,Segunda,1261.583206199322,975.7627956417629
Produto_A,2025-08-12,13.99147410261878,17873.18069139,13593.9744686988,Terça,1277.433711437502,971.5898674432325
Produto_A,2025-08-13,16.27925959571052,20534.282704,15868.27397232,Quarta,1261.3769430527818,974.7540346675955
Produto_A,2025-08-14,35.39628963953472,44155.00331162001,34247.81546204039,Quinta,1247.4472257200237,967.553825861692
Produto_A,2025-08-15,3.789949976049379,4713.99483236,3676.5250498152,Sexta,1243.8145258249133,970.0721838148343
Produto_A,2025-08-18,36.93332565003312,47363.41371842,35100.02910696479,Segunda,1282.4031652935519,950.3619966303606
Produto_A,2025-08-19,23.20826445848048,29693.7929457,22027.4104644,Terça,1279.449094473312,949.1192460257844
Produto_A,2025-08-20,28.47624387543239,35791.59992008,27600.627609324,Quarta,1256.893292410621,969.2509914601546
Produto_A,2025-08-21,29.15701509987631,36806.8783134199,28213.2406865132,Quinta,1262.3678448338849,967.6313089618315
Produto_A,2025-08-22,14.1133199827083,17815.15204875,13690.54356219,Sexta,1262.293497956342,970.044155376886
